step,dev_L1
1,2999999793.0
2,2999999783.0
3,2999999787.0
4,2999999810.0
5,2999999816.0
6,2999999822.0
7,2999999832.5
8,2999999834.5
9,2999999854.5
10,2999999854.5
11,2999999834.5
12,2999999836.5
13,2999999856.5
14,2999999834.5
15,2999999843.5
16,2999999857.5
17,2999999835.5
18,2999999815.5
19,2999999833.5
20,2999999839.0
21,2999999823.0
22,2999999824.0
23,2999999825.0
24,2999999826.0
25,2999999839.5
26,2999999822.0
27,2999999781.0
28,2999999796.0
29,2999999811.0
30,2999999798.0
31,2999999800.5
32,2999999780.5
33,2999999792.5
34,2999999625.0
35,2999999635.0
36,2999999635.0
37,2999999635.0
38,2999999650.0
39,2999999598.0
40,2999999570.0
